id,name_ja,name_en,lat,lon,nearest_stations,category,curve_type,open_hours,crowd_note
sensoji,浅草寺・仲見世通り,Senso-ji Temple & Nakamise Street,35.7148,139.7967,浅草(東京メトロ銀座線);浅草(都営浅草線);浅草(東武),寺社,shrine_morning,境内終日(本堂6:00-17:00),訪日客集中の代表格。台東区が混雑・マナー対策を継続実施
shibuya_crossing,渋谷スクランブル交差点,Shibuya Scramble Crossing,35.6595,139.7005,渋谷(JR);渋谷(東京メトロ);渋谷(東急),繁華街,downtown_evening,終日,ハロウィン等で区が路上飲酒規制条例を制定するほどの過密
tsukiji,築地場外市場,Tsukiji Outer Market,35.6654,139.7707,築地(東京メトロ日比谷線);築地市場(都営大江戸線),市場,market_early,概ね5:00-14:00(店舗による),午前中に極端に集中。食べ歩き混雑が地元課題として報道多数
meiji_jingu,明治神宮,Meiji Jingu Shrine,35.6764,139.6993,原宿(JR);明治神宮前(東京メトロ),寺社,shrine_morning,日の出-日没(月により変動),初詣参拝者数日本一。通常期も訪日客で参道混雑
takeshita,竹下通り,Takeshita Street,35.6712,139.7045,原宿(JR);明治神宮前(東京メトロ),商店街,shopping_afternoon,店舗による(概ね10:00-20:00),休日は歩行困難級の密度になる定番スポット
skytree,東京スカイツリー,Tokyo Skytree,35.7101,139.8107,とうきょうスカイツリー(東武);押上(東京メトロ半蔵門線;都営浅草線),展望施設,observation_evening,10:00-21:00(要確認),展望台待ち時間が長時間化。夕景時間帯に集中
tokyo_tower,東京タワー,Tokyo Tower,35.6586,139.7454,赤羽橋(都営大江戸線);神谷町(東京メトロ日比谷線),展望施設,observation_evening,9:00-22:30(要確認),夜景時間帯に集中
imperial_palace,皇居外苑・二重橋,Imperial Palace East Gardens & Nijubashi,35.6791,139.7597,二重橋前(東京メトロ千代田線);東京(JR),公園庭園,park_day,外苑終日(東御苑9:00-16:30頃・月金休),ツアー団体の立ち寄りが午前-昼に集中
ueno_park,上野公園・上野動物園,Ueno Park & Ueno Zoo,35.7156,139.7737,上野(JR);上野(東京メトロ),公園庭園,park_day,公園終日(動物園9:30-17:00・月休),桜期は日本有数の混雑。博物館含め休日昼に集中
ameyoko,アメ横商店街,Ameyoko Shopping Street,35.7095,139.7745,上野(JR);御徒町(JR),商店街,shopping_afternoon,概ね10:00-19:00,年末の買い出し混雑で全国的に有名。通常期も休日午後に密集
akihabara,秋葉原電気街,Akihabara Electric Town,35.7000,139.7714,秋葉原(JR);末広町(東京メトロ銀座線),繁華街,shopping_afternoon,店舗による(概ね10:00-20:00),訪日客の定番。休日午後に集中
ginza,銀座(中央通り),Ginza,35.6717,139.7648,銀座(東京メトロ);有楽町(JR),繁華街,shopping_afternoon,店舗による,休日の歩行者天国(12:00-17:00頃)に集中
kabukicho,新宿・歌舞伎町,Shinjuku Kabukicho,35.6947,139.7020,新宿(JR);西武新宿(西武);新宿三丁目(東京メトロ),繁華街,downtown_evening,終日(夜型),夜間の過密と客引き問題。区が対策を継続
shinjuku_gyoen,新宿御苑,Shinjuku Gyoen National Garden,35.6852,139.7100,新宿御苑前(東京メトロ丸ノ内線);千駄ケ谷(JR),公園庭園,park_day,9:00-17:30頃(月休・季節変動),桜期は入場制限級。休日昼に集中
toyosu_market,豊洲市場(見学・飲食),Toyosu Market,35.6455,139.7854,市場前(ゆりかもめ),市場,market_early,5:30-15:00頃(日祝・休市日休),マグロせり見学と飲食店が早朝-午前に集中
odaiba,お台場海浜公園,Odaiba Seaside Park,35.6301,139.7739,お台場海浜公園(ゆりかもめ);東京テレポート(りんかい線),公園庭園,park_day,終日,休日午後-夕方に家族連れ・訪日客が集中
teamlab_planets,チームラボプラネッツ TOKYO,teamLab Planets TOKYO,35.6491,139.7897,新豊洲(ゆりかもめ),アトラクション,shopping_afternoon,9:00-22:00(要確認),訪日客人気で日時指定でも待ち発生。昼-夕方に集中
tokyo_station,東京駅丸の内駅舎・駅前広場,Tokyo Station Marunouchi Building,35.6812,139.7660,東京(JR);大手町(東京メトロ),建築観光,observation_evening,終日(ライトアップは日没後),記念撮影が日没-夜に集中
roppongi_hills,六本木ヒルズ展望台,Roppongi Hills Observatory,35.6605,139.7292,六本木(東京メトロ日比谷線;都営大江戸線),展望施設,observation_evening,10:00-22:00(要確認),夜景時間帯に集中
yanaka_ginza,谷中銀座商店街,Yanaka Ginza Shopping Street,35.7282,139.7657,日暮里(JR);千駄木(東京メトロ千代田線),商店街,shopping_afternoon,概ね10:00-18:00,下町散策の人気上昇中。比較的余裕あり=分散先候補
shibamata,柴又帝釈天・参道,Shibamata Taishakuten Temple,35.7599,139.8730,柴又(京成金町線),寺社,shrine_morning,参道店舗9:00-17:00頃,寅さんの街。混雑は限定的=分散先候補
takaosan,高尾山,Mt. Takao,35.6304,139.2694,高尾山口(京王),自然,park_day,ケーブルカー8:00-17:45頃(季節変動),紅葉期の混雑は登山道渋滞級。ミシュラン三つ星で訪日客も多い
